intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative
1861500,0.449030297182555,0.9553502694380293,0.449030297182555,0.5870390518703521,270.71850658071446,10.0,16419.661820346544,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K02014,5e6b8f90686d0551049c22361a1de0cd,0.9553502694380293,1861500,0,1116300,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727140.fastq,,ddc42c90,4145600,5,protein,100,41456,True,0.9103187812932098,0.9909061551174224,0.9506124682053161,0.9909061551174224,False
1652100,0.39851891161713626,0.18851406560056028,0.0779139328444616,0.2093297439099398,556.3427244582043,7.0,24875.257614880866,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K12132,d8a8adeb772ecf49409662e13af4b789,0.964223181977355,323000,1,793300,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727140.fastq,,ddc42c90,4145600,5,protein,100,41456,True,0.8888493540164637,0.9927399832547532,0.9407946686356085,0.9927399832547532,False
1699300,0.4099044770358935,0.08847457627118645,0.037774990351215745,0.004194080480122267,22.991060025542783,5.0,154.38475901251212,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K02004,5fb1f7596c0118aabb244a220b3a82fa,0.9600564971751412,156600,2,636700,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727140.fastq,,ddc42c90,4145600,5,protein,100,41456,True,0.8938711209102975,0.9918805135468204,0.942875817228559,0.9918805135468204,False
1567200,0.378039367039753,0.05376476377952756,0.021082593593207254,0.001267752968147168,12.451945080091534,5.0,33.14382501988762,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K20276,1b86018ba987bbdaeb63bae2f7853d83,0.9640748031496063,87400,3,549300,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727140.fastq,,ddc42c90,4145600,5,protein,100,41456,True,0.8795201212256246,0.9927094279506437,0.9361147745881342,0.9927094279506437,False
1505700,0.36320436125048244,0.040218565347226634,0.015269201080663836,0.0011224908206437663,15.222748815165877,4.0,88.7220092915415,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K02035,0fd5fbbad3e758d91630d79013071a7d,0.9566681491835568,63300,4,486000,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727140.fastq,,ddc42c90,4145600,5,protein,100,41456,True,0.8725063270501042,0.991179390015738,0.931842858532921,0.991179390015738,False
1336200,0.3223176379776148,0.03522183324998214,0.011892126592049402,0.0006949751178871638,12.101419878296147,4.0,42.39409735900216,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K21572,d6ec43b12728168f0122791433548ed7,0.9546331356719296,49300,5,436700,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727140.fastq,,ddc42c90,4145600,5,protein,100,41456,True,0.8519128878684217,0.9907573456702021,0.9213351167693119,0.9907573456702021,False
1240500,0.2992329216518719,0.032325744036055634,0.010034735623311463,0.16446307755391124,3393.8221153846152,5.0,68704.40532494911,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K01897,8107c30a826017ac989cb7b0310ba13b,0.9639443624213225,41600,6,395100,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727140.fastq,,ddc42c90,4145600,5,protein,100,41456,True,0.8393444993174831,0.9926825634897196,0.9160135314036013,0.9926825634897196,False
1575500,0.3800414897722887,0.01971468805485826,0.007767271323813199,0.0005825629508135613,15.531055900621118,5.0,60.75473013921467,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K03406,95fe9eb788ba7b09adf12cc028557118,0.9646115226841364,32200,7,362900,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727140.fastq,,ddc42c90,4145600,5,protein,100,41456,True,0.8804497538706999,0.9928199355441185,0.9366348447074092,0.9928199355441185,False
1337700,0.32267946738710923,0.01977625405990617,0.006609417213431108,0.0018398318826533466,57.64233576642336,5.0,570.4235618902043,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K01992,7706641a8bf77c209648b05570650690,0.9654998195597257,27400,8,335500,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727140.fastq,,ddc42c90,4145600,5,protein,100,41456,True,0.8521040712108069,0.9930027229454427,0.9225533970781248,0.9930027229454427,False
1004000,0.24218448475492088,0.02329835371136998,0.005837514473176379,0.0003592529774663113,12.743801652892563,5.0,53.57199973675959,/data/shared_data/KEGG_data/sourmash_sketches/output_KOs/KOs_sketched/KOs_sketched_scaled_100.sig.zip,ko:K07497,41f716ce938b3e704de0fe4ddcaa08e7,0.9665928564551843,24200,9,311300,/data/dmk333/temp/FreshFun/FunUniFrac/experiments/QIITA_study/joined/EGAF00002727140.fastq,,ddc42c90,4145600,5,protein,100,41456,True,0.8045770444075695,0.9932274557563985,0.898902250081984,0.9932274557563985,False
